T (K),U1,U2,U3,F1,F2,F3,S1,S2,S3
849.4949494949495,0.0,1.2682453163821475e-21,6.0068222295227854e-21,-3.095229875602926e-20,-2.1351078873463305e-20,-2.1265562475725524e-20,3.643611863075977e-23,2.6626790663432816e-23,3.2104234076332724e-23
866.6666666666667,0.0,1.365057397220268e-21,6.134860543495828e-21,-3.157796947999181e-20,-2.1809273440216684e-20,-2.1818138545883512e-20,3.6436118630759776e-23,2.673961250473494e-23,3.225346048774539e-23
883.8383838383838,0.0,1.4648320901659952e-21,6.2595014463322035e-21,-3.220364020395434e-20,-2.22694157051326e-20,-2.2373218102376652e-20,3.643611863075977e-23,2.6853606076966413e-23,3.2395876975110596e-23
901.010101010101,0.0,1.5674307530258838e-21,6.380826384647089e-21,-3.2829310927916887e-20,-2.2731524055150498e-20,-2.2930687266369282e-20,3.643611863075977e-23,2.696857091938858e-23,3.253183689967064e-23
918.1818181818182,0.0,1.67271257398027e-21,6.498919053115157e-21,-3.3454981651879426e-20,-2.3195613511438184e-20,-2.3490438075723927e-20,3.643611863075977e-23,2.708431553857455e-23,3.2661676080913856e-23
935.3535353535354,0.0,1.78053545847191e-21,6.6138645748387986e-21,-3.408065237584197e-20,-2.3661695886064536e-20,-2.4052368187184416e-20,3.643611863075977e-23,2.720065770096229e-23,3.278571321209825e-23
952.5252525252525,0.0,1.8907568322616824e-21,6.7257488095183475e-21,-3.470632309980451e-20,-2.4129779942681783e-20,-2.461638058657687e-20,3.6436118630759776e-23,2.7317424609961854e-23,3.2904250373419157e-23
969.6969696969697,0.0,2.0032343635366227e-21,6.834657772673239e-21,-3.533199382376705e-20,-2.4599871559368765e-20,-2.5182383308457258e-20,3.643611863075977e-23,2.743445298299618e-23,3.3017573614915827e-23
986.868686868687,0.0,2.1178266075544597e-21,6.940677151097858e-21,-3.59576645477296e-20,-2.5071973892039716e-20,-2.5750289166202776e-20,3.6436118630759776e-23,2.7551589042577516e-23,3.312595358661988e-23
1004.040404040404,0.0,2.2343935777433005e-21,7.043891901497157e-21,-3.658333527169213e-20,-2.5546087537054534e-20,-2.6320015493197913e-20,3.643611863075977e-23,2.766868843425539e-23,3.3229646197935736e-23
1021.2121212121212,0.0,2.3527972474707054e-21,7.144385920836893e-21,-3.720900599565467e-20,-2.6022210691876078e-20,-2.6891483895489537e-20,3.6436118630759764e-23,2.7785616083039876e-23,3.3328893291951697e-23
1038.3838383838383,0.0,2.4729019868760126e-21,7.242241778368614e-21,-3.7834676719617216e-20,-2.6500339312809107e-20,-2.74646200160668e-20,3.643611863075977e-23,2.7902245998723996e-23,3.3423923323434884e-23
1055.5555555555557,0.0,2.594574939243545e-21,7.337540500559925e-21,-3.846034744357977e-20,-2.6980467269024946e-20,-2.803935331075096e-20,3.6436118630759776e-23,2.801846103941225e-23,3.3514952031768204e-23
1072.7272727272727,0.0,2.717686341399725e-21,7.43036140128755e-21,-3.90860181675423e-20,-2.7462586492226484e-20,-2.861561683554798e-20,3.643611863075977e-23,2.813415264151596e-23,3.360218310213481e-23
1089.8989898989898,0.0,2.8421097925595773e-21,7.520781950646839e-21,-3.9711688891504836e-20,-2.7946687121441665e-20,-2.919334704521704e-20,3.643611863075977e-23,2.8249220523504384e-23,3.368580880992145e-23
1107.0707070707072,0.0,2.967722475940571e-21,7.608877676608241e-21,-4.033735961546739e-20,-2.843275764255083e-20,-2.9772483602733156e-20,3.643611863075977e-23,2.8363572369805185e-23,3.3766010644660564e-23
1124.2424242424242,0.0,3.094405337315849e-21,7.694722094521577e-21,-4.0963030339429927e-20,-2.892078502225614e-20,-3.035296919926906e-20,3.6436118630759776e-23,2.847712350042792e-23,3.3842959910918894e-23
1141.4141414141413,0.0,3.2220432245039307e-21,7.778386660143483e-21,-4.1588701063392467e-20,-2.941075483629033e-20,-3.0934749384284697e-20,3.6436118630759776e-23,2.858979653113834e-23,3.391681830441053e-23
1158.5858585858587,0.0,3.350524991596293e-21,7.859940742452986e-21,-4.221437178735501e-20,-2.9902651391739096e-20,-3.151777240528899e-20,3.6436118630759776e-23,2.870152102833656e-23,3.398773846230562e-23
1175.757575757576,0.0,3.4797435715144045e-21,7.939451613034544e-21,-4.284004251131756e-20,-3.039645784341739e-20,-3.2101989056825954e-20,3.643611863075977e-23,2.881223316218425e-23,3.405586448725248e-23
1192.9292929292928,0.0,3.609596020269942e-21,8.016984449255846e-21,-4.346571323528009e-20,-3.089215630429626e-20,-3.2687352538232957e-20,3.6436118630759776e-23,2.892187536098268e-23,3.4121332445058356e-23
1210.1010101010102,0.0,3.739983536079933e-21,8.092602348857133e-21,-4.409138395924263e-20,-3.138972795002369e-20,-3.327381831972054e-20,3.643611863075977e-23,2.903039596931768e-23,3.4184270836303754e-23
1227.2727272727275,0.0,3.870811456266999e-21,8.166366353907155e-21,-4.4717054683205183e-20,-3.1889153117622824e-20,-3.386134401633047e-20,3.643611863075977e-23,2.913774891205837e-23,3.424480104241584e-23
1244.4444444444446,0.0,4.001989234656206e-21,8.238335482374227e-21,-4.534272540716772e-20,-3.239041139848316e-20,-3.4449889269339314e-20,3.643611863075977e-23,2.924389336591556e-23,3.430303774691266e-23
